"","Date.Occurred","Crime.Code.Description","Latitude","Longitude"
"128","13","BURGLARY","34.0377"," -118.2621"
"129","13","BURGLARY","34.0395"," -118.2656"
"130","13","BURGLARY","34.0673"," -118.2489"
"131","13","BURGLARY","34.0713"," -118.2291"
"132","13","BURGLARY","34.0467"," -118.2485"
"133","13","BURGLARY","34.0361"," -118.2385"
"134","13","BURGLARY","34.048"," -118.2577"
"135","13","BURGLARY","34.0445"," -118.2558"
"136","13","BURGLARY","34.0389"," -118.2643"
"137","13","BURGLARY","34.0467"," -118.2556"
"138","13","BURGLARY","34.0627"," -118.2463"
"139","13","BURGLARY","34.0383"," -118.2305"
"140","13","BURGLARY","34.051"," -118.248"
"141","13","BURGLARY","34.0395"," -118.2656"
"142","13","BURGLARY","34.0996"," -117.7059"
"143","13","BURGLARY","34.0434"," -118.2542"
"144","13","BURGLARY","34.0382"," -118.2665"
"145","13","BURGLARY","34.0363"," -118.2314"
"146","13","BURGLARY","34.0663"," -118.2441"
"147","13","BURGLARY","34.0682"," -118.2502"
"148","13","BURGLARY","34.0317"," -118.2641"
"149","13","BURGLARY","34.0423"," -118.2561"
"150","13","BURGLARY","34.0409"," -118.2574"
"151","13","BURGLARY","34.0479"," -118.2612"
"152","13","BURGLARY","34.0423"," -118.2666"
"153","13","BURGLARY","34.0446"," -118.245"
"154","13","BURGLARY","34.0328"," -118.2594"
"155","13","BURGLARY","34.0423"," -118.2595"
"156","13","BURGLARY","34.0398"," -118.2726"
"157","13","BURGLARY","34.0444"," -118.2628"
"158","13","BURGLARY","34.0423"," -118.2595"
"159","13","BURGLARY","34.0377"," -118.2621"
"160","13","BURGLARY","34.0487"," -118.2627"
"161","13","BURGLARY","34.0382"," -118.2384"
"162","13","BURGLARY","34.0682"," -118.2502"
"163","13","BURGLARY","34.0388"," -118.2731"
"164","13","BURGLARY","34.037"," -118.2583"
"165","13","BURGLARY","34.0423"," -118.2666"
"166","13","BURGLARY","34.0503"," -118.2433"
"167","13","BURGLARY","34.0382"," -118.2432"
"168","13","BURGLARY","34.0454"," -118.2657"
"169","13","BURGLARY","34.0481"," -118.2542"
"170","13","BURGLARY","34.0389"," -118.2643"
"171","13","BURGLARY","34.0454"," -118.2657"
"172","13","BURGLARY","34.0412"," -118.2331"
"173","13","BURGLARY","34.0547"," -118.2505"
"174","13","BURGLARY","34.0454"," -118.2657"
"175","13","BURGLARY","34.0311"," -118.2646"
"176","13","BURGLARY","34.0493"," -118.2418"
"177","13","BURGLARY","34.0591"," -118.2412"
"178","13","BURGLARY","34.0449"," -118.2528"
"179","13","BURGLARY","34.0646"," -118.2372"
"180","13","BURGLARY","34.046"," -118.2509"
"181","13","BURGLARY","34.0467"," -118.2556"
"182","13","BURGLARY","34.0346"," -118.2323"
"183","13","BURGLARY","34.0446"," -118.245"
"184","13","BURGLARY","34.0472"," -118.2326"
"185","13","BURGLARY","34.0591"," -118.2412"
"186","13","BURGLARY","34.0752"," -118.2511"
"187","13","BURGLARY","34.0591"," -118.2412"
"188","13","BURGLARY","34.0395"," -118.2656"
"189","13","BURGLARY","34.0563"," -118.2374"
"190","13","BURGLARY","34.0328"," -118.2594"
"191","13","BURGLARY","34.046"," -118.2509"
"192","13","BURGLARY","34.0591"," -118.2412"
"193","13","BURGLARY","34.032"," -118.2657"
"194","13","BURGLARY","34.0474"," -118.2531"
"195","13","BURGLARY","34.0627"," -118.2463"
"196","13","BURGLARY","34.0736"," -118.2312"
"197","13","BURGLARY","34.0419"," -118.2523"
"198","13","BURGLARY","34.0311"," -118.2646"
"199","13","BURGLARY","34.0436"," -118.2354"
"200","13","BURGLARY","34.0395"," -118.2622"
"201","13","BURGLARY","34.0446"," -118.245"
"202","13","BURGLARY","34.0724"," -118.249"
"203","13","BURGLARY","34.0391"," -118.2659"
"204","13","BURGLARY","34.0312"," -118.2615"
"205","13","BURGLARY","34.0439"," -118.2514"
"206","13","BURGLARY","34.0595"," -118.2368"
"207","13","BURGLARY","34.0455"," -118.2381"
"208","13","BURGLARY","34.0377"," -118.2425"
"209","13","BURGLARY","34.0401"," -118.2668"
"210","13","BURGLARY","34.0454"," -118.2466"
"211","13","BURGLARY","34.0415"," -118.2654"
"212","13","BURGLARY","34.0409"," -118.2609"
"213","13","BURGLARY","34.0473"," -118.2601"
"214","13","BURGLARY","34.0408"," -118.2644"
"215","13","BURGLARY","34.0533"," -118.2478"
"216","13","BURGLARY","34.0663"," -118.2441"
"217","13","BURGLARY","34.0517"," -118.2456"
"218","13","BURGLARY","34.0632"," -118.2408"
"219","13","BURGLARY","34.0445"," -118.2523"
"220","13","BURGLARY","34.0473"," -118.2601"
"221","13","BURGLARY","34.0477"," -118.2393"
"222","13","BURGLARY","34.0401"," -118.2533"
"223","13","BURGLARY","34.0617"," -118.2469"
"224","13","BURGLARY","34.043"," -118.2571"
"225","13","BURGLARY","34.0433"," -118.2504"
"226","13","BURGLARY","34.0573"," -118.2455"
"227","13","BURGLARY","34.0419"," -118.2485"
"228","13","BURGLARY","34.0467"," -118.247"
"229","13","BURGLARY","34.0627"," -118.2463"
"230","13","BURGLARY","34.0391"," -118.2659"
"231","13","BURGLARY","34.0395"," -118.2656"
"232","13","BURGLARY","34.0433"," -118.2504"
"233","13","BURGLARY","34.0509"," -118.2515"
"234","13","BURGLARY","34.0474"," -118.2496"
"235","13","BURGLARY","34.043"," -118.2571"
"236","13","BURGLARY","34.0655"," -118.2489"
"237","13","BURGLARY","34.0627"," -118.2463"
"238","13","BURGLARY","34.0419"," -118.2485"
"239","13","BURGLARY","34.0473"," -118.2566"
"240","13","BURGLARY","34.0402"," -118.2633"
"241","13","BURGLARY","34.0408"," -118.2511"
"242","13","BURGLARY","34.0502"," -118.254"
"243","13","BURGLARY","34.0473"," -118.2425"
"244","13","BURGLARY","34.0459"," -118.2545"
"245","13","BURGLARY","34.0415"," -118.2374"
"246","13","BURGLARY","34.0433"," -118.2377"
"247","13","BURGLARY","34.0459"," -118.2545"
"248","13","BURGLARY","34.0413"," -118.2517"
"249","13","BURGLARY","34.0617"," -118.2469"
"250","13","BURGLARY","34.0317"," -118.2641"
"251","13","BURGLARY","34.0494"," -118.2581"
"252","13","BURGLARY","34.0617"," -118.2469"
"253","13","BURGLARY","34.0578"," -118.252"
"254","13","BURGLARY","34.0578"," -118.252"
"255","13","BURGLARY","34.0437"," -118.2652"
"256","13","BURGLARY","34.0492"," -118.2391"
"257","13","BURGLARY","34.0617"," -118.2469"
"258","13","BURGLARY","34.0395"," -118.2656"
"259","13","BURGLARY","34.0386"," -118.2694"
"260","13","BURGLARY","34.0474"," -118.2496"
"261","13","BURGLARY","34.0458"," -118.243"
"262","13","BURGLARY","34.046"," -118.2509"
"263","13","BURGLARY","34.0492"," -118.2391"
"264","13","BURGLARY","34.0407"," -118.2541"
"265","13","BURGLARY","34.0377"," -118.2425"
"266","13","BURGLARY","34.0493"," -118.2418"
"267","13","BURGLARY","34.0414"," -118.2319"
"268","13","BURGLARY","34.0578"," -118.252"
"269","13","BURGLARY","34.0423"," -118.2561"
"270","13","BURGLARY","34.0407"," -118.2541"
"271","13","BURGLARY","34.0415"," -118.2654"
"272","13","BURGLARY","34.0381"," -118.2401"
"273","13","BURGLARY","34.0426"," -118.2412"
"274","13","BURGLARY","34.048"," -118.2577"
"275","13","BURGLARY","34.0467"," -118.2411"
"276","13","BURGLARY","34.0433"," -118.2504"
"277","13","BURGLARY","34.0437"," -118.2617"
"278","13","BURGLARY","34.0446"," -118.249"
"279","13","BURGLARY","34.0398"," -118.2726"
"280","13","BURGLARY","34.0467"," -118.2485"
"281","13","BURGLARY","34.0464"," -118.2447"
"282","13","BURGLARY","34.0452"," -118.2569"
"283","13","BURGLARY","34.0445"," -118.2558"
"284","13","BURGLARY","34.0461"," -118.2395"
"285","13","BURGLARY","34.0415"," -118.2332"
"286","13","BURGLARY","34.046"," -118.2509"
"287","13","BURGLARY","34.0392"," -118.2328"
"288","13","BURGLARY","34.0401"," -118.2668"
"289","13","BURGLARY","34.0419"," -118.2485"
"290","13","BURGLARY","34.0416"," -118.262"
"291","13","BURGLARY","34.0637"," -118.244"
"292","13","BURGLARY","34.046"," -118.2509"
"293","13","BURGLARY","34.0423"," -118.2452"
"294","13","BURGLARY","34.0467"," -118.247"
"295","13","BURGLARY","34.0644"," -118.2387"
"296","13","BURGLARY","34.0401"," -118.2533"
"297","13","BURGLARY","34.0626"," -118.2445"
"298","13","BURGLARY","34.0414"," -118.2382"
"299","13","BURGLARY","34.0446"," -118.245"
"300","13","BURGLARY","34.0416"," -118.2584"
"301","13","BURGLARY","34.0455"," -118.2381"
"302","13","BURGLARY","34.0417"," -118.2512"
"303","13","BURGLARY","34.0493"," -118.2418"
"304","13","BURGLARY","34.0555"," -118.2455"
"305","13","BURGLARY","34.0623"," -118.2383"
"306","13","BURGLARY","34.0663"," -118.2441"
"307","13","BURGLARY","34.0403"," -118.2308"
"308","13","BURGLARY","34.0566"," -118.2531"
"309","13","BURGLARY","34.0478"," -118.2462"
"310","13","BURGLARY","34.0439"," -118.2514"
"311","13","BURGLARY","34.0464"," -118.2447"
"312","13","BURGLARY","34.0384"," -118.2646"
"313","13","BURGLARY","34.0414"," -118.2319"
"314","13","BURGLARY","34.0485"," -118.2447"
"315","13","BURGLARY","34.0444"," -118.2628"
"316","13","BURGLARY","34.0444"," -118.2628"
"317","13","BURGLARY","34.0391"," -118.2384"
"318","13","BURGLARY","34.0477"," -118.2393"
"319","13","BURGLARY","34.0364"," -118.2707"
"320","13","BURGLARY","34.038"," -118.243"
"321","13","BURGLARY","34.0394"," -118.2405"
"322","13","BURGLARY","34.0455"," -118.2452"
"323","13","BURGLARY","34.0627"," -118.2463"
"324","13","BURGLARY","34.0437"," -118.2617"
"325","13","BURGLARY","34.0423"," -118.2452"
"326","13","BURGLARY","34.0446"," -118.245"
"327","13","BURGLARY","34.0407"," -118.268"
"328","13","BURGLARY","34.0452"," -118.2569"
"329","13","BURGLARY","34.0486"," -118.2351"
"330","13","BURGLARY","34.0423"," -118.2452"
"331","13","BURGLARY","34.0435"," -118.2427"
"332","13","BURGLARY","34.0445"," -118.2523"
"333","13","BURGLARY","34.0419"," -118.2485"
"334","13","BURGLARY","34.0361"," -118.2385"
"335","13","BURGLARY","34.0621"," -118.2376"
"336","13","BURGLARY","34.0437"," -118.2617"
"337","13","BURGLARY","34.0488"," -118.2518"
"338","13","BURGLARY","34.0401"," -118.2668"
"339","13","BURGLARY","34.0424"," -118.2493"
"340","13","BURGLARY","34.0416"," -118.2584"
"341","13","BURGLARY","34.072"," -118.2508"
"342","13","BURGLARY","34.0452"," -118.2569"
"343","13","BURGLARY","34.0452"," -118.2569"
"344","13","BURGLARY","34.0378"," -118.2561"
"345","13","BURGLARY","34.0564"," -118.2498"
"346","13","BURGLARY","34.0389"," -118.255"
"347","13","BURGLARY","34.0423"," -118.2666"
"348","13","BURGLARY","34.0591"," -118.2412"
"349","13","BURGLARY","34.0474"," -118.2496"
"350","13","BURGLARY","34.0635"," -118.2458"
"351","13","BURGLARY","34.0423"," -118.2452"
"352","13","BURGLARY","34.057"," -118.2327"
"353","13","BURGLARY","34.0626"," -118.2433"
"354","13","BURGLARY","34.046"," -118.2509"
"355","13","BURGLARY","34.0455"," -118.2381"
"356","13","BURGLARY","34.0416"," -118.262"
"357","13","BURGLARY","34.0606"," -118.2439"
"358","13","BURGLARY","34.0584"," -118.2513"
"359","13","BURGLARY","34.0601"," -118.2386"
"360","13","BURGLARY","34.051"," -118.2445"
"361","13","BURGLARY","34.0445"," -118.2523"
"362","13","BURGLARY","34.0433"," -118.2381"
"363","13","BURGLARY","34.0503"," -118.2433"
"364","13","BURGLARY","34.0517"," -118.2456"
"365","13","BURGLARY","34.0408"," -118.2644"
"366","13","BURGLARY","34.0438"," -118.2397"
"367","13","BURGLARY","34.0433"," -118.2381"
"368","13","BURGLARY","34.049"," -118.2381"
"369","13","BURGLARY","34.0578"," -118.252"
"370","13","BURGLARY","34.0673"," -118.2354"
"371","13","BURGLARY","34.0461"," -118.2476"
"372","13","BURGLARY","34.0581"," -118.2371"
"373","13","BURGLARY","34.0459"," -118.2579"
"374","13","BURGLARY","34.0467"," -118.2411"
"375","13","BURGLARY","34.0461"," -118.2476"
"376","13","BURGLARY","34.0473"," -118.2425"
"377","13","BURGLARY","34.0531"," -118.2478"
"378","13","BURGLARY","34.046"," -118.2509"
"379","13","BURGLARY","34.0402"," -118.2633"
"380","13","BURGLARY","34.0488"," -118.2518"
"381","13","BURGLARY","34.0488"," -118.2518"
"382","13","BURGLARY","34.0435"," -118.2471"
"383","13","BURGLARY","34.0529"," -118.2549"
"384","13","BURGLARY","34.0539"," -118.2487"
"385","13","BURGLARY","34.0361"," -118.2634"
"386","13","BURGLARY","34.046"," -118.2509"
"387","13","BURGLARY","34.0481"," -118.2542"
"388","13","BURGLARY","34.0412"," -118.2436"
"389","13","BURGLARY","34.0306"," -118.2635"
"390","13","BURGLARY","34.0363"," -118.2573"
"391","13","BURGLARY","34.0433"," -118.2504"
"392","13","BURGLARY","34.0376"," -118.2594"
"393","13","BURGLARY","34.0474"," -118.2496"
"394","13","BURGLARY","34.0408"," -118.2644"
"395","13","BURGLARY","34.0473"," -118.2462"
"396","13","BURGLARY","34.0627"," -118.2463"
"397","13","BURGLARY","34.0455"," -118.2381"
"398","13","BURGLARY","34.0418"," -118.2351"
"399","13","BURGLARY","34.0473"," -118.2601"
"400","13","BURGLARY","34.0389"," -118.2643"
"401","13","BURGLARY","34.0477"," -118.2393"
"402","13","BURGLARY","34.0604"," -118.2393"
"403","13","BURGLARY","34.0363"," -118.2677"
"404","13","BURGLARY","34.0423"," -118.2452"
"405","13","BURGLARY","34.0503"," -118.2433"
"406","13","BURGLARY","34.0392"," -118.2524"
"407","13","BURGLARY","34.0417"," -118.2443"
"408","13","BURGLARY","34.0391"," -118.2581"
"409","13","BURGLARY","34.0467"," -118.2411"
"410","13","BURGLARY","34.0401"," -118.2533"
"411","13","BURGLARY","34.0396"," -118.2451"
"412","13","BURGLARY","34.043"," -118.2571"
"413","13","BURGLARY","34.0473"," -118.2462"
"414","13","BURGLARY","34.0403"," -118.2308"
"415","13","BURGLARY","34.0387"," -118.2335"
"416","13","BURGLARY","34.0607"," -118.2405"
"417","13","BURGLARY","34.051"," -118.2445"
"418","13","BURGLARY","34.0446"," -118.249"
"419","13","BURGLARY","34.0407"," -118.2541"
"420","13","BURGLARY","34.0538"," -118.2488"
"421","13","BURGLARY","34.0627"," -118.2463"
"422","13","BURGLARY","34.0467"," -118.2411"
"423","13","BURGLARY","34.0444"," -118.2407"
"424","13","BURGLARY","34.0358"," -118.2663"
"425","13","BURGLARY","34.0446"," -118.249"
"426","13","BURGLARY","34.0668"," -118.2359"
"427","13","BURGLARY","34.0428"," -118.2532"
"428","13","BURGLARY","34.0436"," -118.2354"
"429","13","BURGLARY","34.0454"," -118.236"
"430","13","BURGLARY","34.0407"," -118.2468"
"431","13","BURGLARY","34.0412"," -118.2474"
"432","13","BURGLARY","34.064"," -118.2375"
"433","13","BURGLARY","34.043"," -118.242"
"434","13","BURGLARY","34.0455"," -118.2381"
"435","13","BURGLARY","34.0446"," -118.249"
"436","13","BURGLARY","34.0673"," -118.2489"
"437","13","BURGLARY","34.0423"," -118.2666"
"438","13","BURGLARY","34.0423"," -118.2666"
"439","13","BURGLARY","34.0403"," -118.2308"
"440","13","BURGLARY","34.0407"," -118.268"
"441","13","BURGLARY","34.0461"," -118.2395"
"442","13","BURGLARY","34.0402"," -118.2329"
"443","13","BURGLARY","34.0357"," -118.2593"
"444","13","BURGLARY","34.0359"," -118.2648"
"445","13","BURGLARY","34.0464"," -118.2402"
"446","13","BURGLARY","34.0535"," -118.256"
"447","13","BURGLARY","34.048"," -118.2577"
"448","13","BURGLARY","34.0364"," -118.2603"
"449","13","BURGLARY","34.0458"," -118.243"
"450","13","BURGLARY","34.0438"," -118.2547"
"451","13","BURGLARY","34.049"," -118.2381"
"452","13","BURGLARY","34.049"," -118.2381"
"453","13","BURGLARY","34.0366"," -118.2602"
"454","13","BURGLARY","34.0402"," -118.2329"
"455","13","BURGLARY","34.0376"," -118.2594"
"456","13","BURGLARY","34.0487"," -118.2588"
